vendor,target
naturearm,https://hop.clickbank.net/?vendor=naturearm&affiliate=monk242&tid=naturearmutm_source=dsp&utm_medium=email&utm_campaign=cbnaturearm
infectbook,https://hop.clickbank.net/?vendor=infectbook&affiliate=monk242&tid=infectbookutm_source=dsp&utm_medium=email&utm_campaign=cbinfectbook
ssry16,https://hop.clickbank.net/?vendor=ssry16&affiliate=monk242&tid=ssry16utm_source=dsp&utm_medium=email&utm_campaign=cbssry16
uswater1,https://hop.clickbank.net/?vendor=uswater1&affiliate=monk242&tid=uswater1utm_source=dsp&utm_medium=email&utm_campaign=cbuswater1
droughtusa,https://hop.clickbank.net/?vendor=droughtusa&affiliate=monk242&tid=droughtusautm_source=dsp&utm_medium=email&utm_campaign=cbdroughtusa
frontbook,https://hop.clickbank.net/?vendor=frontbook&affiliate=monk242&tid=frontbookutm_source=dsp&utm_medium=email&utm_campaign=cbfrontbook
foraging1,https://hop.clickbank.net/?vendor=foraging1&affiliate=monk242&tid=foraging1utm_source=dsp&utm_medium=email&utm_campaign=cbforaging1
wfguide,https://hop.clickbank.net/?vendor=wfguide&affiliate=monk242&tid=wfguideutm_source=dsp&utm_medium=email&utm_campaign=cbwfguide
lostrec,https://hop.clickbank.net/?vendor=lostrec&affiliate=monk242&tid=lostrecutm_source=dsp&utm_medium=email&utm_campaign=cblostrec
uoggen,https://hop.clickbank.net/?vendor=uoggen&affiliate=monk242&tid=uoggenutm_source=dsp&utm_medium=email&utm_campaign=cbuoggen
ghdefense,https://hop.clickbank.net/?vendor=ghdefense&affiliate=monk242&tid=ghdefenseutm_source=dsp&utm_medium=email&utm_campaign=cbghdefense
ezbattery,https://hop.clickbank.net/?vendor=ezbattery&affiliate=monk242&tid=ezbatteryutm_source=dsp&utm_medium=email&utm_campaign=cbezbattery
srvfarm,https://hop.clickbank.net/?vendor=srvfarm&affiliate=monk242&tid=srvfarmutm_source=dsp&utm_medium=email&utm_campaign=cbsrvfarm
spcgen,https://hop.clickbank.net/?vendor=spcgen&affiliate=monk242&tid=spcgenutm_source=dsp&utm_medium=email&utm_campaign=cbspcgen
sbackyard,https://hop.clickbank.net/?vendor=sbackyard&affiliate=monk242&tid=sbackyardutm_source=dsp&utm_medium=email&utm_campaign=cbsbackyard
easycellar1,https://hop.clickbank.net/?vendor=easycellar1&affiliate=monk242&tid=easycellar1utm_source=dsp&utm_medium=email&utm_campaign=cbeasycellar1
savstash,https://hop.clickbank.net/?vendor=savstash&affiliate=monk242&tid=savstashutm_source=dsp&utm_medium=email&utm_campaign=cbsavstash
docsrem10,https://hop.clickbank.net/?vendor=docsrem10&affiliate=monk242&tid=docsrem10utm_source=dsp&utm_medium=email&utm_campaign=cbdocsrem10
